,states,x,y
0,Andhra Pradesh,-90.0,-147.0
1,Arunachal Pradesh,222.0,154.0
2,Assam,158.0,108.0
3,Bihar,38.0,81.0
4,Chhattisgarh,-26.0,7.0
5,Goa,-194.0,-145.0
6,Gujarat,-268.0,42.0
7,Haryana,-139.0,166.0
8,Himachal Pradesh,-115.0,224.0
9,Jammu Kashmir,-162.0,279.0
10,Jharkhand,35.0,52.0
11,Karnataka,-160.0,-127.0
12,Kerala,-145.0,-275.0
13,Madhya Pradesh,-153.0,29.0
14,Maharashtra,-186.0,-41.0
15,Manipur,226.0,77.0
16,Meghalaya,160.0,90.0
17,Mizoram,211.0,48.0
18,Nagaland,242.0,115.0
19,Odisha,15.0,-23.0
20,Punjab,-185.0,211.0
21,Rajasthan,-235.0,113.0
22,Sikkim,82.0,135.0
23,Tamil Nadu,-103.0,-233.0
24,Telangana,-90.0,-85.0
25,Tripura,155.0,49.0
26,Uttar Pradesh,-96.0,124.0
27,Uttarakhand,-80.0,196.0
28,West Bengal,95.0,23.0
29,Andaman Nicobar,214.0,-193.0
30,Chandigarh,-135.0,196.0
31,Dadra Nagar Haveli,-242.0,-17.0
32,Daman Diu,-195.0,-30.0
33,Lakshadweep,-210.0,-248.0
34,Delhi,-110.0,156.0
35,Puducherry,-52.0,-215.0
